"Pompprijzen motorbrandstoffen; brandstofsoort, per dag"
""
"";"Onderwerp"
"";"Benzine Euro95";"Diesel";"Lpg"
"Perioden";"euro/liter";"euro/liter";"euro/liter"
"2024 zondag 1 september";"1,912";"1,635";"0,738"
"2024 maandag 2 september";"1,916";"1,640";"0,737"
"2024 dinsdag 3 september";"1,913";"1,638";"0,742"
"2024 woensdag 4 september";"1,906";"1,632";"0,740"
"2024 donderdag 5 september";"1,904";"1,630";"0,741"
"2024 vrijdag 6 september";"1,897";"1,624";"0,748"
"2024 zaterdag 7 september";"1,890";"1,618";"0,748"
"2024 zondag 8 september";"1,892";"1,620";"0,744"
"2024 maandag 9 september";"1,893";"1,624";"0,742"
"2024 dinsdag 10 september";"1,885";"1,617";"0,733"
"2024 woensdag 11 september";"1,876";"1,611";"0,735"
"2024 donderdag 12 september";"1,873";"1,607";"0,742"
"2024 vrijdag 13 september";"1,870";"1,604";"0,738"
"2024 zaterdag 14 september";"1,868";"1,599";"0,737"
"2024 zondag 15 september";"1,869";"1,597";"0,739"
"2024 maandag 16 september";"1,872";"1,606";"0,739"
"2024 dinsdag 17 september";"1,870";"1,601";"0,741"
"2024 woensdag 18 september";"1,866";"1,598";"0,738"
"2024 donderdag 19 september";"1,868";"1,596";"0,739"
"2024 vrijdag 20 september";"1,874";"1,601";"0,745"
"2024 zaterdag 21 september";"1,874";"1,596";"0,742"
"2024 zondag 22 september";"1,873";"1,596";"0,748"
"2024 maandag 23 september";"1,875";"1,600";"0,747"
"2024 dinsdag 24 september";"1,871";"1,597";"0,746"
"2024 woensdag 25 september";"1,869";"1,595";"0,752"
"2024 donderdag 26 september";"1,870";"1,598";"0,749"
"2024 vrijdag 27 september";"1,864";"1,593";"0,749"
"2024 zaterdag 28 september";"1,859";"1,584";"0,744"
"2024 zondag 29 september";"1,859";"1,584";"0,749"
"2024 maandag 30 september";"1,861";"1,589";"0,746"
"Bron: CBS, Travelcard BV"
