City,CarCost_EUR_per_month,CarTime_min_per_month
Amsterdam Centraal,357.7680715274249,2867.4
Rotterdam Centraal,221.94186838673818,923.4000000000001
Den Haag Centraal,207.1175336227897,826.2
Utrecht Centraal,372.74303004291846,2575.8
Eindhoven Centraal,521.030034334764,4811.400000000001
Tilburg Centraal,429.9318197424892,3547.8
Almere Centrum,410.89671244635196,3402.0
Groningen Centraal,831.1849699570816,8310.6
Breda Centraal,326.72975107296134,2624.4
Nijmegen Centraal,517.5874821206438,4811.400000000001
Leeuwarden Centraal,700.6491387730043,6949.8
Maastricht Centraal,844.0642775360083,7338.6
